legacy_batch_source,new_stage_batch,source_file,legacy_table_name,record_key,legacy_dedupe_key,target_schema,target_table,migration_priority,payload_kind,title_or_key,planned_batch08_action
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الحاج أمين الحسيني - رئيس المجلس الإسلامي,9d8c6d6a17825f59,assistant,knowledge_documents,P1,legacy_sql_insert_row,الحاج أمين الحسيني - رئيس المجلس الإسلامي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,ترميم المسجد الأقصى - الفترة البريطانية,b5c60d39dd143811,assistant,knowledge_documents,P1,legacy_sql_insert_row,ترميم المسجد الأقصى - الفترة البريطانية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الأوقاف في الضفة الغربية - الإدارة الأردنية,98e13ba3237ec5f0,assistant,knowledge_documents,P1,legacy_sql_insert_row,الأوقاف في الضفة الغربية - الإدارة الأردنية,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الأوقاف بعد 1967 - الاحتلال الإسرائيلي,73fa2dde1de07bec,assistant,knowledge_documents,P1,legacy_sql_insert_row,الأوقاف بعد 1967 - الاحتلال الإسرائيلي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,حارة المغاربة - الهدم,89d4e6ee261bab16,assistant,knowledge_documents,P1,legacy_sql_insert_row,حارة المغاربة - الهدم,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,وقف أبو مدين الغوث - القدس,8fc3f49daaa32436,assistant,knowledge_documents,P1,legacy_sql_insert_row,وقف أبو مدين الغوث - القدس,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه المالكي - تعريف الوقف,79f19cf34304f2f3,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه المالكي - تعريف الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الشافعي - تعريف الوقف,c32fd63409b722d4,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الشافعي - تعريف الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الفقه الحنبلي - تعريف الوقف,3fa5993c0f039e49,assistant,knowledge_documents,P1,legacy_sql_insert_row,الفقه الحنبلي - تعريف الوقف,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,شروط الموقوف - الفقه الإسلامي,69802159d9a7b864,assistant,knowledge_documents,P1,legacy_sql_insert_row,شروط الموقوف - الفقه الإسلامي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف على النفس - الخلاف الفقهي,bd245a0c47bedfe4,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف على النفس - الخلاف الفقهي,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,نظارة الوقف - الشروط والأحكام,c8bea6a4f3d856de,assistant,knowledge_documents,P1,legacy_sql_insert_row,نظارة الوقف - الشروط والأحكام,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,شرط الواقف - الالتزام به,ec1a9972f613208d,assistant,knowledge_documents,P1,legacy_sql_insert_row,شرط الواقف - الالتزام به,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف المؤقت - حكمه,622036e2abcf629f,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف المؤقت - حكمه,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف على غير المسلمين - الحكم,ff3a2601d5a723ef,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف على غير المسلمين - الحكم,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,إحياء الوقف المتعطل - الأحكام,429a31aae708ed45,assistant,knowledge_documents,P1,legacy_sql_insert_row,إحياء الوقف المتعطل - الأحكام,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف الأهلي - التعريف والأحكام,829e5eb41ec56d30,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف الأهلي - التعريف والأحكام,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,scripts/bulk-import.sql,knowledge_documents,الوقف المشترك - الأحكام,7c71d653bb491e8a,assistant,knowledge_documents,P1,legacy_sql_insert_row,الوقف المشترك - الأحكام,stage_all_then_promote_p1_knowledge
